,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
0,완료(귀가),[개] 말티즈,수컷,0.0,흰색,2014,3.2,서울-관악-2021-00160,2021-05-01~2021-05-11,봉천119안전센터앞,"입술밑종양,체리아이,흰색옷착용.칩없음,수술필요",러브펫종합동물병원,서울특별시 관악구정
1,보호중,[개] 말티즈,수컷,1.0,흰색,2013,4.0,경기-광주-2021-00249,2021-05-01~2021-05-11,광주시 오포읍 양벌리 일대,"5-1, 칩없음, 좌측 뒷다리 부분에 큰 종양, 언하고 예쁜 아이",광주1\0동물병원초월,경기도 광주시청
2,완료(입양),[개] 말티즈,수컷,1.0,흰색,2020,4.2,전북-전주-2021-00559,2021-05-01~2021-05-10,초포다리주변,몸에 풀씨가 많이 붙어있음,행복한동물병원,전라북도 전주시청
3,완료(입양),[개] 말티즈,암컷,0.0,화이트,2020,3.0,경남-밀양-2021-00656,2021-05-001~2021-05-11,내이동,순하고 이쁜아이,밀양시동물보호센터,경상남도 밀양시청
4,완료(귀가),[개] 말티즈,암컷,0.0,흰색,2011,3.0,경남-창원3-2021-00111,2021-05-02 ~2021-05-13,경화초등학교 정문,"노령견, 체구 작음, 중×, 칩×",진해유기동물보호소,창원시청 진해기술지원과
5,완료(귀가),[개] 말티즈,수컷,0.0,흰,2016,3.7,서울-강북-2021-00085,2021-05-003 ~2021-05-13,삼양로97길 19 인근,왼눈위상처 약간 있음. 네발털변색. 온순함. 사람따름. 꼬리단,한국동물구조관리협회,서울특별시 강북구청
6,완료(귀가),[개] 말티즈,암컷,,흰색,2016,5.0,인천-남동-2021-00149,2021-05-03 ~2021-05-ㄱ73,남동구 논현동739-1,구조 후 바로 주인에게 돌아감(주인반환),인천수의사회,인천광역시 남동구청
7,완료(귀가),[개] 말티즈,수컷,,갈색,2016,2.4,경남-양산-2021-00068,2021-05-03 ~2021-05-713,물금 황산공원,,양산시유기동물보호소,경상남도 양산시청
8,완료(입양),[개] 말티즈,수컷,,흰색,2016,3.4,경남-양산-2021-00069,2021-05-03 ~2021-05-13,신기동392,흰색 빨강색가슴줄착용,양산시유기동물보호소,경상남도 양산시청
9,완료(귀가),[개] 말티즈,수컷,1.0,흰색,2008,2.3,서울-강동-2021-00074,2021-05-002~2021-05-12,고덕강일 14단지 인근,나이13세추정/사람잘따름/짓음심함/건강상태 양호/치석많,강동구청 반려동물팀,서울특별시 강동구청
10,완료(귀가),[개] 말티즈,수컷,0.0,백색,2014,4.16,경기-성남-2021-00228,2021-05-02~2021-05-12,중원보건소,"분홍새 뜨개질 옷, 윗 앞니 없음, 칩있으나 결번.",펫토피아동물병원,경기도 성남시청
11,완료(귀가),[개] 말티즈,암컷,,백,2015,3.0,경기-안양-2021-00066,2021-05-02 ~2021-05-12,안양로 347 부근,"봄이, 동물등록칩있음,",한국야생동물보호협회,경기도 안양시정
12,완료(귀가),[개] 말티즈,수컷,1.0,백색,2010,4.9,경기-오산-2021-00068,2021-05-02 ~2021-05-12,성호대로141,교통사고,오산시수의사회,경기도 오산시청
13,완료(귀가),[개] 말티즈,암컷,1.0,흰색,2020,3.5,충북-청주-2021-00395,2021-05-02~2021-05-ㄱ72,사직대로 103,"배에 최근 중성화 수술한 흔적과 실밥이 남아있음, 순한 아이",반려동물보호센터,충청북도 청주시정
14,완료(귀가),[개] 말티즈,수컷,0.0,흰색,2018,4.0,전북-완주-2021-00102,2021-05-03 ~2021-05-13,봉동 둥구나무 도로변,온순하고 사람에게 잘안김,별빚유기동물지킴이,전라북도 완주군청
15,보호중,[개] 말티즈,암컷,0.0,흰색,2015,2.42,인천-강화-2021-00193,2021-05-10 ~2021-05-20,동막해수욕장 부근,"최근에 미용, 연분홍 옷 착용",베스트동물병원,인천광역시 강화군청
16,종료(기증),[개] 말티즈,수컷,1.0,흰,2016,2.3,서울-성북-2021-00066,2021-05-03 ~2021-05-13,화랑로 32가길 20 석관파출소 인근,눈물자국. 온순함. 꼬리단미안됨. 털상태양호. 왼슬개골.,한국동물구조관리협회,서울특별시 성북구청
17,완료(입양),[개] 말티즈,암컷,,흰,2013,2.3,서울-성북-2021-00067,2021-05-03 ~2021-05-13,화랑로 32가길 20 석관파출소 인근,눈물자국심함. 유선종양많음. 온순함. 꼬리단미안됨. 털때탐.,한국동물구조관리협회,서울특별시 성북구청
18,완료(귀가),[개] 말티즈,암컷,,흰색,2015,3.3,서울-강동-2021-00075,2021-05-03 ~2021-05-13,해공공원,"청진상 특이 사항 없음, 양쪽 슬개골 탈구 3단계 추정, 유선종",강동리본센터,서울특별시 강동구청
19,완료(귀가),[개] 말티즈,암컷,0.0,흰색,2013,3.6,인천-부평-2021-00238,2021-05-03 ~2021-05-13,부평소방서,"겁을먹은듯 약간 예민함,남자 무서워하고 여자를 잘 따름",조재진동물병원,인천광역시 부평구정
20,완료(귀가),[개] 말티즈,암컷,1.0,흰색,2010,3.0,울산-남구-2021-00185,2021-05-03 ~2021-05-13,팔등로,백내장있음. 검정색 옷 입고 발견됨,사랑동물병원,울산광역시 남구청
21,완료(입양),[개] 말티즈,수컷,0.0,백,2020,5.0,경기-시흥-2021-00275,2021-05-03 ~2021-05-15,정왕동 1212-8 부근,"눈물자국, 귀미용, 순함",한국야생동물보호협회,경기도 시흥시청
22,종료(기증),[개] 말티즈,암컷,0.0,흰색,2018,3.0,경기-양평-2021-00160,2021-05-03 ~ 2021-05-13,대심리 9-2,작고 귀여운 강아지,양평군유기동물보호소,경기도 양평군청
23,보호중,[개] 말티즈,암컷,,흰색,2011,3.0,충북-청주-2021-00400,2021-05-03 ~2021-05-13,서원구 남이면 상발리(삼거리),피부병있으며 셀프미용흔적있음,반려동물보호센터,충청북도 청주시청
24,종료(자연사),[개] 말티즈,암컷,1.0,백,2010,2.0,경북-포항-2021-00524,2021-05-03 ~2021-05-13,경북 포항시 남구 오천읍 해병로123 우방신세계2차,(내장칩,영일동물플러스,경상북도 포항시청
25,완료(귀가),[개] 말티즈,암컷,0.0,흰색,2016,3.5,경남-창원3-2021-00113,2021-05-03 ~ 2021-05-13,남문동 세스페데스공원 내,"순함, 관리 안되어 있음(치석, 눈꼽, 발톱등), 중×, 칩×",진해유기동물보호소,창원시청 진해기술지원과
26,완료(귀가),[개] 말티즈,수컷,1.0,흰색,2021,2.0,부산-영도-2021-00057',2021-05-004~2021-05-14,영도구 동삼지구대(태종로 618),"동물등록이 되어있음, 옷을 착용하고 미용도되어있음",하얀비둘기,부산광역시 영도구청
27,완료(귀가),[개] 말티즈,암컷,,흰색,2015,8.0,부산-부산진-2021-00115,2021-05-04~2021-05-14,부산진구 당감로 79,6살 추정,동물보호관리협회,부산광역시 부산진구청
28,완료(귀가),[개] 말티즈,수컷,0.0,흰,2018,4.9,경기-의정부-2021-00100,2021-05-04~2021-05-14,의정부 관내,"보라색옷/검은하네스. 귀/꼬리 갈색염색, 치석. 사람따름/암전",한국동물구조관리협회,경기도 의정부시청
29,완료(입양),[개] 말티즈,수컷,0.0,흰색,2017,2.5,제주-제주-2021-01731,2021-05-004~2021-05-14,제주시 화북일동 목마가든,(개체관리번호1643)옷착용,제주 동물보호센터,제주특별자치도정
30,보호중,[개] 말티즈,암컷,0.0,백색,2016,4.0,인천-계양-2021-00155,2021-005-006~2021-05-77,계양구청 당직실(목상동),많이 짓는편임,신영재동물병원,인천광역시 계양구청
31,보호중,[개] 말티즈,수컷,1.0,흰색,2011,2.04,인천-강화-2021-00184,2021-05-10 ~2021-05-20,하우고개 부근,위앞니 결손,베스트동물병원,인천광역시 강화군청
32,완료(귀가),[개] 말티즈,수컷,1.0,흰색,2009,2.6,서울-관악-2021-00174,2021-05-04~2021-05-14,건영아파트주변,"노령견,백내장추정,집있음",러브펫종합동물병원,서울특별시 관악구정
33,완료(귀가),[개] 말티즈,수컷,1.0,흰,2016,5.0,광주-남구-2021-00120,2021-05-04~2021-05-14,남구 봉선동,21-0522몽,광주 동물보호소,광주광역시 남구청
34,완료(입양),[개] 말티즈,암컷,,흰,2017,2.5,광주-북구-2021-00269,2021-05-004~2021-05-14,북구 오치동,21-0526 티티,광주 동물보호소,광주광역시 북구청
35,완료(귀가),[개] 말티즈,암컷,,흰색,2015,5.1,울산-남구-2021-00187,2021-0504~2021-05-ㄱ74,,버스정류장 앞에서 발견됨,사랑동물병원,울산광역시 남구청
36,종료(자연사),[개] 말티즈,수컷,0.0,흰색,2018,3.8,경기-평택-2021-00813,2021-05-04~2021-05-14,안중 파출소,외봉,평택시유기동물보호소,경기도 평택시청
37,보호중,[개] 말티즈,수컷,1.0,흰색,2014,5.0,전북-완주-2021-00104,2021-05-04~2021-05-14,완주군 완주로 812 대영아파트 단지 안,"중성화 되어있고, 온순하고 사람 잘 따름",별빚유기동물지킴이,전라북도 완주군청
38,완료(귀가),[개] 말티즈,수컷,0.0,흰색,2013,4.0,전남-여수-2021-00232,2021-05-004~2021-05-14,여서동 현대산업아파트 관리소,온순함. 아파트 화단에서 발견됨.,유기동물보호소,전라남도 여수시청
39,완료(입양),[개] 말티즈,수컷,1.0,흰색,2017,3.0,경북-칠곡-2021-00131,2021-05-04~2021-05-11,기산면행정리,왜관에서성주넘어가는방향 차길에서구조신고자7일간보호,칠곡유기동물보호센터,경상북도 칠곡군정
40,완료(입양),[개] 말티즈,수컷,1.0,흰색,2019,3.2,경북-경주-2021-00318,2021-05-05~2021-05-17,외동읍 외동미소지움아파트 인근 대로변,,경주시유기동물보호소,경상북도 경주시청
41,완료(귀가),[개] 말티즈,암컷,,흰,2011,1.3,서울-성북-2021-00068,2021-05-006 ~2021-05-17,종암동 개운산 산책로 입구,고령. 양눈눈물자국. 변색. 치석심함. 여윙. 발끝미용. 사람따,한국동물구조관리협회,서울특별시 성북구정
42,완료(입양),[개] 말티즈,수컷,,백구,2021,3.0,대전-동구-2021-00146,2021-05-06 ~2021-05-17,인동 광천순대 인근,,대전동물보호센터,대전광역시 동구청
43,보호중,[개] 말티즈,수컷,0.0,흰,2016,3.5,경기-포천-2021-00374,2021-05-06 ~2021-05-17,중앙로 126-7 시외버스터미널 인근,양눈눈물자국. 코갈색. 배꼽탈장. 사람따름. 찜낌.,한국동물구조관리협회,경기도 포천시청
44,완료(입양),[개] 말티즈,수컷,0.0,흰색,2021,3.5,부산-서구-2021-00138,2021-05-05~2021-05-17,대신로 39,"온순한성격,몸만 미용,활발한성격,서구1-79호",부산동물보호센터,부산광역시 서구청
45,완료(귀가),[개] 말티즈,수컷,0.0,흰색,2013,3.7,부산-북구-2021-00101,2021-05-005~2021-05-17,덕천중학교 부근,"온순한성격,눈물자국,전체미용,북구1-53호",부산동물보호센터,부산광역시 북구청
46,완료(입양),[개] 말티즈,수컷,0.0,흰색,2018,2.8,충북-제천-2021-00095,2021-05-005~2021-05-17,공설문동장69편의점 앞,연두색목줄착용,제천시 동물보호센터,충청북도 제천시청
47,완료(귀가),[개] 말티즈,암컷,,흰,2017,6.0,서울-강서-2021-00037,2021-05-006 ~2021-05-77,강서구관내,양눈눈물자국.부정교합.발끝변색.음/낌낌/사람따름.칩있,한국동물구조관리협회,서울특별시 강서구청
48,보호중,[개] 말티즈,수컷,1.0,흰색,2016,4.7,인천-서구-2021-00265,2021-05-06 ~2021-05-17,가정동501-24,"털엉킴심함.털이눈을가림,발톱엄청김.착함",가정동물병원,인천광역시 서구청
49,완료(귀가),[개] 말티즈,수컷,0.0,백,2014,4.0,경기-수원-2021-00231,2021-05-006~2021-0577,팔달구 세지로 427-17,털관리 안됨. 한쪽 잠복고환,수원시 동물보호센터,경기도 수원시청
50,완료(귀가),[개] 말티즈,암컷,0.0,흰색,2010,5.0,경남-거제-2021-00415,2021-05-11 ~ 2021-05-21,옥포수변공원,나이많음,거제시유기동물보호소,경상남도 거제시정
51,완료(입양),[개] 말티즈,암컷,,흰색,2014,2.7,부산-강서-2021-00191,2021-05-06 ~2021-05-17,공항파출소,"온순한성격,코부분밝은갈색,털이약간곱슬,강서구1-142호",부산동물보호센터,부산광역시 강서구청
52,완료(귀가),[개] 말티즈,암컷,,흰색,2019,3.0,인천-부펑-2021-00244,2021-05-06 ~2021-05-17,"청천동 174-17,이천빌딩 그린슈퍼","회색 단추 옷, 미용한 상태발견",늘푸른동물병원,인천광역시 부평구청
53,완료(귀가),[개] 말티즈,수컷,1.0,흰색,2016,6.5,경기-고양-2021-00397,2021-05-006 ~2021-05-77,향동동517,"오른쪽 뒷다리 노란색 보호대 착용, 방울달린 레몬색 목줄 착",고양시동물보호센터,경기도 고양시청
54,보호중,[개] 말티즈,수컷,0.0,크림,2016,1.8,충북-옥천-2021-00111,2021-05-06 ~2021-05-17,옥천읍 옥천우체국 앞 도로,[관리번호 111[성격이 순함,옥천동물병원,충정북도 옥천군청
55,완료(귀가),[개] 말티즈,수컷,1.0,흰색,2016,2.4,경기-고양-2021-00400,2021-005-007~2021-05-77,행신동 195-1 부근,적색목줄 착용,고양시동물보호센터,경기도 고양시청
56,완료(귀가),[개] 말티즈,암컷,,흰색,2017,4.2,전남-목포-2021-00290,2021-05-08 ~2021-05-18,포르모부근,"잘파름,흰색과 빨강색옷 착용,부분미용",목포시유기동물보호소,전라남도 목포시청
57,완료(입양),[개] 말티즈,수컷,1.0,백색,2011,4.0,대전-서구-2021-00162,"2021-05-10 ~2021-05-20""",서구 도안동 15블럭 대로변 인근,,대전동물보호센터,대전광역시 서구청
58,완료(귀가),[개] 말티즈,암컷,0.0,흰색,2011,5.0,서울-강동-2021-00081,2021-05-007~2021-05-17,풍납시장,사람잘따름/ 동물등록되어있음/ 치석많이낌,강동리본센터,서울특별시 강동구청
59,완료(귀가),[개] 말티즈,암컷,,흰색,2019,3.0,대구-남구-2021-00066,2021-05-007~2021-05-17,봉덕로 11길 만식이네 식당 앞,머리 묶었음,대구유기동물보호센터,대구광역시 남구청
60,보호중,[개] 말티즈,암컷,0.0,흰색,2017,2.2,경기-용인-2021-00310,2021-05-07~2021-05-17,기흥구 공세동 693 공세초등학교,양전하고 순한 아이,용인시 동물보호센터,경기도 용인시청
61,보호중,[개] 말티즈,수컷,,흰색,2013,3.1,충남-논산-2021-00180,2021-05-007~2021-05-17,채운면 채운로36번길 근처,건강양호,호크종합동물병원,충청남도 논산시청
