,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
0,완료(귀가),[개] 미니어쳐 푸들,수컷,0.0,검정,2017,,서울-용산-2021-00036,2021-04-(06 ~2021-04-ㄱ16,보광동 기업은행 앞,겁이 많아 약간의 입질 있음. 검은 옷 착용.,21세기동물병원,서울특별시 용산구청
1,완료(입양),[개] 말티즈,수컷,1.0,흰,2015,3.7,서울-양천-2021-00039,2021-04-006 ~2021-04-ㄱ16,신정동양천구청상황실 (다음4-5),치석있으며미용되어있고피부질환있으며온순하고잘따르나,강현림동물병원,서울특별시 양천구정
2,완료(입양),[개] 믹스견,암컷,0.0,흰검,2017,3.4,서울-관악-2021-00108,2021-04-,남서울중학교근처,"순하고사람잘따름,코검정,약간치석,칩없음",러브펫종합동물병원,서울특별시 관악구정
3,보호중,[개] 믹스견,수컷,0.0,흰색,2017,8.2,부산-남구-2021-00051,2021-04-006 ~2021-04-ㄱ16,남구 성천초 및 우암사 주변,"사나움, 들개서식지에서 포획",누리동물병원,부산광역시 남구청
4,완료(입양),[개] 믹스견,수컷,0.0,갈색&8000;흰색,2019,3.8,대구-서구-2021-00077,2021-04-06~2021-004ㄱ76,서구 북비산네거리 부근,온순함,대구시수의사회,대구광역시 서구청
5,완료(입양),[개] 푸들,수컷,0.0,갈,2012,3.45,대구-달성-2021-00135,2021-04-006 ~2021-04-16,대구 달성군 논공읍 하리 들,아랫 앞니 3개 없음,포산동물병원,대구광역시 달성군청
6,보호중,[개] 믹스견,암컷,0.0,갈검흰,2017,8.5,인천-서구-2021-00178,2021-04-006 ~2021-04-16,서구청당직실,겁많음.발쪽흰털섞임.순함,가정동물병원,인천광역시 서구청
7,종료(안락사),[개] 믹스견,암컷,0.0,검,2021,3,광주-동구-2021-00045,2021-04-006 ~2021-04-16,동구 광산동,21-0420 콩일,광주 동물보호소,광주광역시 동구청
8,종료(안락사),[개] 믹스견,암컷,0.0,"검,갈",2021,3,광주-동구-2021-00044,2021-04-006 ~2021-04-16,동구 광산동,21-0421 콩이,광주 동물보호소,광주광역시 동구청
9,완료(귀가),[개] 믹스견,암컷,0.0,크림,2021,5,광주-서구-2021-00108,2021-04-(06 ~2021-04-ㄱ16,서구 금호동,21-0422 송이,광주 동물보호소,광주광역시 서구청
10,완료(귀가),[개] 골든 리트리버,암컷,,갈,2011,35,광주-북구-2021-00169,2021-04-006 ~2021-04-ㄱ16,북구 용봉지구대,21-0417주홍,광주 동물보호소,광주광역시 북구청
11,완료(귀가),[개] 믹스견,수컷,0.0,갈,2021,,광주-북구-2021-00171,2021-04-,북구삼각동,21-0418 금돌,광주 동물보호소,광주광역시 북구청
12,완료(귀가),[개] 믹스견,수컷,0.0,갈,2021,12,광주-북구-2021-00172,2021-04-006 ~2021-04-ㄱ16,북구 일곡동,21-0419 도리,광주 동물보호소,광주광역시 북구청
13,완료(귀가),[개] 골든 리트리버,수컷,,황,2019,25,대전-대덕-2021-00079,2021-04-06 ~2021-04-16,대전광역시 대덕구 오정동 한남대 육교 주변,,대전동물보호센터,대전광역시 대덕구청
14,완료(귀가),[개] 푸들,수컷,,황,2018,4,대전-대덕-2021-00080,2021-04006~2021-04ㄱ76,대전광역시 대덕구 법동 법동중학교 주변,,대전동물보호센터,대전광역시 대덕구청
15,보호중,[개] 믹스견,암컷,0.0,흰색,2016,10.2,울산-울주-2021-00220,2021-04-(06 ~2021-04-ㄱ16,울주군 웅촌면 은현작동로 408번지 인근,기력없음/유선종양/설사/경계심,울산유기동물보호센터,울산광역시 울주군정
16,보호중,[개] 믹스견,수컷,0.0,황,2015,5.64,경기-수원-2021-00155,2021-04-,장안구 영화로86번길 25,"(임시보호중. 입양희망시 전화상담4)턱끝에 출혈, 털 관리상",수원시 동물보호센터,
17,완료(입양),[개] 믹스견,수컷,0.0,흑백색,2019,7.7,경기-성남-2021-00167,2021-04006~2021-047ㄱ76,희망로359번길30-1,중성화 안됨,펫토피아동물병원,경기도 성남시청
18,완료(입양),[개] 믹스견,암컷,,흑백색,2016,8.8,경기-성남-2021-00168,2021-04006~2021-0476,희망로359번길30-1,겁많음,펫토피아동물병원,경기도 성남시청
19,완료(입양),[개] 믹스견,수컷,0.0,흑백색,2019,6.4,경기-성남-2021-00169,2021-04-006~2021-047ㄱ76,희망로359번길30-1,중성화 안됨,펫토피아동물병원,경기도 성남시청
20,완료(입양),[개] 믹스견,수컷,0.0,연갈색,2018,29,경기-성남-2021-00170,2021-004-006~2021-0476,상적동 29,"쇠줄, 목줄 착용.중성화 안됨.",펫토피아동물병원,경기도 성남시청
21,완료(입양),[개] 믹스견,암컷,,갈색,2019,2.4,경기-부천-2021-00179,2021-04-06 ~2021-04-16,신흥로 393번길 10,,24시아이동물메디컬,경기도 부천시청
