,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
0,완료(입양),[개] 푸들,수컷,0.0,흰,2019,5,광주-광산-2021-00265,2021-05-01~2021-05-11,광산구 신창동,21-0510 타니,광주 동물보호소,광주광역시 광산구청
1,완료(입양),[개] 푸들,수컷,1.0,황,2015,4.5,경북-포항-2021-00518,2021-05-01~2021-05-11,북구 아치로 87-2 우현청구아파트,"미용되어있음,집나온지 얼마 되지않았음,사람잘따르고 교육되",영일동물플러스,경상북도 포항시청
2,완료(입양),[개] 푸들,수컷,1.0,"갈색,검정색",2019,7,서울-관악-2021-00163,2021-05-002~2021-05-12,문성터널,"구토,설사,혈변,장염의심,칩없음",러브펫종합동물병원,서울특별시 관악구정
3,완료(입양),[개] 푸들,수컷,0.0,갈색,2021,2.5,전북-익산-2021-00510,2021-05-03 ~ 2021-05-13,익산시서동로24길,생후5개월정도 작고순하며영리함,익산유기동물보호소,전라북도 익산시청
4,완료(입양),[개] 푸들,수컷,0.0,검정,2021,,전북-익산-2021-00516,2021-05-03 ~ 2021-05-13,익산시함라면신대리,생후10개월정도 아직어리며순하고영리함,익산유기동물보호소,전라북도 익산시청
5,완료(입양),[개] 푸들,수컷,0.0,검은색,2018,4,충남-천안-2021-00362,2021-05-04~2021-05-14,성거읍 송남리 348-5,"순함, 털 젖은채로 입소",유실유기동물보호소,충청남도 천안시청
6,완료(귀가),[개] 푸들,수컷,,갈색,2020,5,충북-청주-2021-00397,2021-05-002~2021-05-12,충북재활원 마리아의 집,엉덩이 짓무른 상태로 입소 주인반환 예정,반려동물보호센터,충청북도 청주시청
7,완료(귀가),[개] 푸들,수컷,1.0,검,2020,,서울-도봉-2021-00055,2021-05-03 ~2021-05-10,도당로6길 20 성원아파트 69편의점 인근,겁있음. 온순함. 꼬리단미안됨. 털상태양호. 칩있음.,한국동물구조관리협회,서울특별시 도봉구청
8,완료(입양),[개] 푸들,수컷,0.0,흰색,2020,1.5,전북-순창-2021-00021,2021-05-03 ~ 2021-05-13,적성면 우계길 38,온순함,원 동물병원,전라북도 순창군청
9,완료(귀가),[개] 푸들,암컷,,황색,2019,3,전남-목포-2021-00271,2021-05-03 ~ 2021-05-13,스카이워크부근,"가슴줄착용,분리불안보임,관리잘됨",목포시유기동물보호소,전라남도 목포시청
10,보호중,[개] 푸들,수컷,,연갈,2016,5.3,경남-김해-2021-00429,2021-05-03 ~ 2021-05-13,김해시 삼정동 삼중공원,"1-376,꼬리부상",누리동물병원,경상남도 김해시청
11,완료(입양),[개] 푸들,암컷,0.0,흰색,2018,4.60,울산-남구-2021-00186,2021-05-03 ~2021-05-13,본동파출소 인근,"건강양호해보임,경계심이있으나 착해보임",강남동물병원,울산광역시 남구청
12,완료(입양),[개] 푸들,수컷,0.0,백,2015,2.6,경기-수원-2021-00225,2021-05-03 ~2021-05-13,팔달구 팔달문로57번길 31-2,옷 착용,수원시 동물보호센터,경기도 수원시청
13,완료(입양),[개] 푸들,수컷,0.0,갈,2016,5,경기-수원-2021-00226,2021-05-03 ~2021-05-13,권선구 정조로613번길 15-14,털이김,수원시 동물보호센터,경기도 수원시청
14,완료(귀가),[개] 푸들,수컷,1.0,흑색,2016,8.4,경기-성남-2021-00229,2021-05-03 ~ 2021-05-13,행복이 있는 동물병원,"칩있으나 미등록,병심함",펫토피아동물병원,경기도 성남시청
15,완료(입양),[개] 푸들,암컷,,갈색,2019,2.4,경기-오산-2021-00072,2021-05-03 ~2021-05-13,대호로71번길,야위어있음,오산시수의사회,경기도 오산시청
16,보호중,[개] 푸들,수컷,1.0,갈색,2014,6.50,충남-당진-2021-00218,2021-05-03 ~2021-05-72,당진시 북부산업로 3550,"갈색 목줄착용,중성화,순함",당진시동물보호소,충청남도 당진시청
17,보호중,[개] 푸들,암컷,0.0,화이트,2017,5,경남-밀양-2021-00671,2021-05-03 ~ 2021-05-13,삼문동,순하고 사람을 좋아함,밀양시동물보호센터,경상남도 밀양시청
18,완료(입양),[개] 푸들,암컷,0.0,갈색,2016,,경남-밀양-2021-00672,2021-05-03 ~2021-05-13,부북,순하고 이쁜아이/뒷다리가 안좋음..,밀양시동물보호센터,경상남도 밀양시정
19,완료(입양),[개] 푸들,암컷,,갈색,2019,3,인천-남동-2021-00154,2021-05-004~2021-05-14,남동구 석산로141번길 29 상인천초등학교,"활발(많이 움직임), 등 부분 털 없음",인천수의사회,인천광역시 남동구청
20,완료(귀가),[개] 푸들,수컷,,갈색,2018,,강원-태백-2021-00048,2021-05-04~2021-05-14,장성동 동아라이크텐@ 102동,특이사항 없음,태백유기동물,강원도 태백시청
21,완료(입양),[개] 푸들,수컷,0.0,갈색,2016,,제주-제주-2021-01713,2021-05-04~2021-05-14,서귀포시 대정읍 해동그린앤골드 109동,(개체관리번호1624),제주 동물보호센터,제주특별자치도청
22,완료(입양),[개] 푸들,수컷,0.0,흰색,2018,5.5,제주-제주-2021-01727',2021-05-004~2021-05-14,제주시 구좌읍 새마을금고 인근,(개체관리번호1639)파란목,제주 동물보호센터,제주특별자치도청
23,완료(입양),[개] 푸들,암컷,,갈색,2020,30,제주-제주-2021-01736,2021-05-004~2021-05-14,제주시 도남동 성원3차4. 단지내,"(개체관리번호1649)멜빵바지착용, 임시보호",제주 동물보호센터,제주특별자치도청
24,공고중,[개] 푸들,수컷,1.0,갈,2018,,서울-중랑-2021-00053,2021-05-006 ~2021-05-26,용마산 일대,발톱길. 겁많음/경계/입질. 꼬리길게단미. 전신미용. 털상태,한국동물구조관리협회,서울특별시 중랑구청
25,공고중,[개] 푸들,암컷,,갈,2018,5,서울-중랑-2021-00052,2021-05-06 ~2021-05-26,용마산 일대,"발톱길. 전체미용흔적. 겁많음/입질/경계. 꼬리단미됨, 털상태",한국동물구조관리협회,서울특별시 중랑구청
26,완료(귀가),[개] 푸들,수컷,0.0,황,2018,4.00,대전-중구-2021-00091,2021-05-06~2021-05ㄱ77,,",",대전동물보호센터,대전광역시 중구청
27,종료(기증),[개] 푸들,수컷,0.0,검,2014,2.1,경기-연천-2021-00149,2021-05-06 ~2021-05-17,군남면 군남로402 연천소방서 군남 지역대 인근,코검정. 전신미용흔적. 여윙/치석. 사람따름. 양전함.,한국동물구조관리협회,경기도 연천군청
28,완료(입양),[개] 푸들,암컷,,흰색,2017,,충북-음성-2021-00099,2021-05-04~2021-05-12,무극 터미널 맞은편 다리및,관리받던 강아지 집과 용품 같이 버려짐,테오종합동물병원,충청북도 음성군청
29,완료(입양),[개] 푸들,수컷,1.0,회색,2019,4.50,충남-보령-2021-00134,2021-05-04~2021-05-14,신흑동 해수욕장,중성화 되어있음,보령시임시동물보호소,충청남도 보령시청
30,종료(자연사),[개] 푸들,수컷,0.0,갈색,2019,30,전북-김제-2021-00157,2021-05-04~2021-05-20,김제시농업기술센터,눈 한족이 안좋음,전북말산업복합센터,전라북도 김제시정
31,완료(귀가),[개] 푸들,수컷,0.0,황,2017,5.5,경북-포항-2021-00531,2021-05-04~2021-05-14,경상북도 포항시 남구 대송면 제내길37-1,"하늘색하네스착용(줄은 없었음),깔끔하게 미용되어있음,소심",영일동물플러스,경상북도 포항시청
